PROVINCIA,CANTON,area_total_ha,area_protegida_ha,pct_kba_protegida
Alajuela,Alajuela,10856.07613,3920.070692,36.10946208
Alajuela,Grecia,2402.020191,2382.383989,99.18251303
Alajuela,Guatuso,20250.03063,11958.84661,59.05594332
Alajuela,Los Chiles,33610.54356,11838.14382,35.22151849
Alajuela,Naranjo,820.5115705,673.1248482,82.03721585
Alajuela,Orotina,718.3672563,0,0
Alajuela,Poas,949.0523181,845.7126908,89.11128234
Alajuela,Rio Cuarto,9277.243054,1892.830818,20.40294522
Alajuela,San Carlos,151757.1499,49554.24105,32.65364504
Alajuela,San Ramon,36016.10297,32067.63462,89.03693619
Alajuela,Sarchi,10116.69643,7973.38074,78.81407529
Alajuela,Upala,46034.88942,17778.54866,38.6197271
Alajuela,Zarcero,2322.868719,1744.74762,75.11176184
Cartago,Alvarado,1109.465766,1060.151006,95.55508952
Cartago,Cartago,11522.13629,8387.931623,72.79840659
Cartago,El Guarco,11880.77433,9730.270798,81.89929824
Cartago,Jimenez,15492.57927,5484.077596,35.39809286
Cartago,La Union,1040.46553,931.7049225,89.54692833
Cartago,Oreamuno,13710.59505,13654.01719,99.58734204
Cartago,Paraiso,36802.09972,30873.90885,83.89170478
Cartago,Turrialba,120655.5499,68972.39679,57.16471134
Guanacaste,Abangares,12805.23785,4310.105209,33.65892348
Guanacaste,Bagaces,48232.80074,28534.3163,59.15956748
Guanacaste,Carrillo,745.3570347,251.6181662,33.75807224
Guanacaste,Cañas,9420.66361,3109.883076,33.01129522
Guanacaste,Hojancha,26149.27237,933.0841797,3.568298829
Guanacaste,La Cruz,77499.08064,59223.67507,76.41855178
Guanacaste,Liberia,55126.81757,18631.14854,33.79688754
Guanacaste,Nandayure,47345.85175,166.536104,0.351743813
Guanacaste,Nicoya,88290.09514,5412.811036,6.130711522
Guanacaste,Santa Cruz,63008.74695,5598.712956,8.885612278
Guanacaste,Tilaran,57130.66178,8225.258517,14.39727506
Heredia,Barva,1738.349469,1167.859077,67.18206538
Heredia,Heredia,25380.94016,23999.22815,94.55610391
Heredia,San Isidro,308.3469783,271.3803249,88.01134565
Heredia,San Rafael,691.7374116,691.7264439,99.99841447
Heredia,Santa Barbara,844.9236481,764.9546981,90.53536373
Heredia,Sarapiqui,154348.0856,85870.75334,55.63447905
Limon,Guacimo,27330.20423,9657.787157,35.33741306
Limon,Limon,134892.1912,53227.1689,39.45904388
Limon,Matina,42099.50233,5534.994814,13.14741151
Limon,Pococi,136024.6486,107432.2988,78.98002302
Limon,Siquirres,23410.4221,12305.03467,52.56220762
Limon,Talamanca,247551.2986,164245.7887,66.34818303
Puntarenas,Buenos Aires,107447.9661,17718.52498,16.49033074
Puntarenas,Corredores,18306.65761,0,0
Puntarenas,Coto Brus,50584.99084,28125.91475,55.60130442
Puntarenas,Esparza,735.2999625,237.3719341,32.28232642
Puntarenas,Garabito,14061.02603,3009.694558,21.40451594
Puntarenas,Golfito,76805.56708,16289.50704,21.20875824
Puntarenas,Montes de Oro,9727.687825,2740.062922,28.16766914
Puntarenas,Monteverde,4037.290796,814.4180226,20.17238945
Puntarenas,Osa,145728.4961,79935.02894,54.85202349
Puntarenas,Parrita,7990.711686,678.9587728,8.496849836
Puntarenas,Puerto Jimenez,70261.61658,50962.87144,72.53301862
Puntarenas,Puntarenas,117018.6326,28246.15729,24.1381707
Puntarenas,Quepos,17436.92603,798.4831788,4.579265735
San Jose,Acosta,7373.985389,2664.705108,36.13656615
San Jose,Alajuelita,462.375811,462.375811,100
San Jose,Aserri,6933.193873,2002.483111,28.8825489
San Jose,Curridabat,9.836669361,9.069287023,92.19875845
San Jose,Desamparados,5925.21309,432.394536,7.297535624
San Jose,Dota,40406.7117,35749.78501,88.47486842
San Jose,Escazu,743.3554194,667.433821,89.78663552
San Jose,Goicoechea,354.2249001,220.7844447,62.32888897
San Jose,Leon Cortes Castro,9876.562408,77.7739691,0.787459906
San Jose,Mora,7057.962958,4294.340204,60.84390397
San Jose,Moravia,557.5313083,401.1147653,71.94479652
San Jose,Puriscal,14216.33249,2498.265478,17.5732066
San Jose,Perez Zeledon,98020.20068,42256.49866,43.10998995
San Jose,Santa Ana,2324.777808,2207.514143,94.95591947
San Jose,Tarrazu,23274.02576,2953.65805,12.69079136
San Jose,Turrubares,22140.25819,6608.136105,29.84669848
San Jose,Vazquez de Coronado,17380.69784,16841.20897,96.89604598
